title,time,source,url,twid
埃隆·马斯克 (@elonmusk)：@cb_doge 是的，但更像是一百万根吸管,2023-07-02 03:48:43,Twitter,https://twitter.com/elonmusk/status/1675229966592626689,
埃隆·马斯克 (@elonmusk)：@cb_doge 停止抓取的唯一方法,2023-07-02 03:19:53,Twitter,https://twitter.com/elonmusk/status/1675222707691048961,
Elon Musk (@elonmusk)：@dogeofficialceo 我讨厌二维码,2023-07-02 02:53:27,Twitter,https://twitter.com/elonmusk/status/1675216056015519745,
埃隆·马斯克 (@elonmusk)：@cb_doge Dogs rock,2023-07-01 09:03:29,Twitter,https://twitter.com/elonmusk/status/1674946794046849028,
埃隆·马斯克（@elonmusk）：@dogeofficialceo 🤣🤣,2023-07-01 08:49:25,Twitter,https://twitter.com/elonmusk/status/1674943252422696960,
彭博社：富达带领比特币 ETF 重新提交，以回应 SEC,2023-07-01 05:48:42,Blogs,https://www.bloomberg.com/news/articles/2023-06-30/fidelity-leads-flurry-of-bitcoin-btc-etf-refilings-to-answer-sec,
COINTELEGRAPH：加密货币商业：币安六月的混乱、矿工为减半做准备、Bitfinex 的拉美扩张,2023-07-01 05:30:01,Blogs,https://cointelegraph.com/news/crypto-biz-binance-chaotic-june-miners-gear-up-for-halving-bitfinex-latam-expansion,
彭博社：芝加哥期权交易所向 SEC 重新提交了 Fidelity 和其他比特币 ETF 申请,2023-07-01 05:27:58,Blogs,https://www.bloomberg.com/news/articles/2023-06-30/fidelity-other-bitcoin-etf-applications-refiled-by-cboe-to-sec,
COINDESK：重新提交的申请称，Coinbase 将成为富达比特币 ETF 的监控合作伙伴,2023-07-01 04:40:00,Blogs,https://www.coindesk.com/policy/2023/06/30/coinbase-will-be-fidelitys-surveillance-partner-for-bitcoin-etf-refiled-application-says/,
THE BLOCK：芝加哥期权交易所更新了现货比特币 ETF 的备案文件,2023-07-01 04:35:23,Blogs,https://www.theblock.co/headline/237316/cboe-updates-filings-for-spot-bitcoin-etfs,
彭博社：为什么 SEC 质疑比特币 ETF 备案,2023-07-01 03:03:35,Blogs,https://www.bloomberg.com/news/videos/2023-06-30/why-the-sec-is-questioning-bitcoin-etf-filings-video,
THE BLOCK：专家表示，现货比特币 ETF 仍可能面临重大障碍,2023-07-01 01:09:30,Blogs,https://www.theblock.co/post/237299/spot-bitcoin-etf-could-still-face-significant-hurdles-experts-say,
COINTELEGRAPH：别天真了——贝莱德的比特币 ETF 不会看好比特币,2023-07-01 00:55:01,Blogs,https://cointelegraph.com/news/blackrock-etf-isnt-bullish-for-bitcoin,
彭博社：美国证券交易委员会 (SEC) 反对富达、贝莱德现货比特币 ETF 备案,2023-07-01 00:36:51,Blogs,https://www.bloomberg.com/news/articles/2023-06-30/sec-questions-fidelity-blackrock-on-spot-bitcoin-etf-filings,
THE BLOCK：币安表示，超过 60% 的机构投资者对明年的加密货币持乐观态度,2023-06-30 23:16:22,Blogs,https://www.theblock.co/post/237284/over-60-of-institutional-investors-positive-about-crypto-over-the-next-year-says-binance,
解密：美国证券交易委员会称贝莱德、富达比特币 ETF 申请不充分：《华尔街日报》,2023-06-30 23:08:45,Blogs,https://decrypt.co/146863/sec-calls-blackrock-fidelity-bitcoin-etf-applications-inadequate-wsj,
区块：MicroStrategy 的 Michael Saylor 谈黄金、Ordinals 和比特币 ETF,2023-06-30 23:00:54,Blogs,https://www.theblock.co/post/237105/michael-saylor-bitcoin,
THE BLOCK：《华尔街日报》报道现货比特币 ETF 备案“不充分”后，比特币暴跌,2023-06-30 22:40:00,Blogs,https://www.theblock.co/post/237267/bitcoin-dives-after-wsj-report-on-inadequate-spot-bitcoin-etf-filings,
BINANCE.COM 博客：购买 ForeverCR7 的指南：GOAT NFT,2023-06-30 22:00:01,Blogs,https://www.binance.com/en/blog/nft/your-guide-to-buying-a-forevercr7-the-goat-nft-7284571573794584803,
"变焦器（@zoomerfied）：[变焦器]

SEC 退回 ETF 文件，因为未指定加密货币交易所，并要求修改和重新文件：BBG 分析师",2023-06-30 21:51:19,Twitter,https://twitter.com/zoomerfied/status/1674777637540216840,
THE BLOCK：美国证券交易委员会告诉纳斯达克和芝加哥期权交易所，现货比特币 ETF 备案不充分：《华尔街日报》,2023-06-30 21:46:51,Blogs,https://www.theblock.co/post/237257/sec-tells-nasdaq-cboe-that-spot-bitcoin-etf-filings-are-inadequate-wsj,
THE BLOCK：SEC 希望比特币 ETF 文件提供有关监控举措的更多细节：《华尔街日报》,2023-06-30 21:41:03,Blogs,https://www.theblock.co/headline/237258/sec-wants-bitcoin-etf-filings-to-provide-more-details-on-surveillance-initiatives-wsj,
THE BLOCK：Michael Saylor：比特币 ETF 将成为“机构采用之路上的里程碑”,2023-06-30 21:36:09,Blogs,https://www.theblock.co/post/237231/michael-saylor-bitcoin-etf,
BINANCE.COM 博客：新的和改进的自动投资：了解有关新功能的更多信息,2023-06-30 20:37:06,Blogs,https://www.binance.com/en/blog/earn/new-and-improved-auto-invest-learn-more-about-the-new-features-8505103344833586172,
BINANCE.COM 博客：币安慈善机构、币安粉丝代币和 S.S. Lazio 联手推动社会变革,2023-06-30 19:42:15,Blogs,https://www.binance.com/en/blog/charity/binance-charity-binance-fan-token-and-ss-lazio-team-up-for-social-change-6574296814133850272,
BINANCE.COM 博客：第六季孵化计划开放申请,2023-06-30 18:00:01,Blogs,https://www.binance.com/en/blog/ecosystem/open-applications-for-season-6-incubation-program--binance-labs-paris-meetup-event-5257718754087972873,
BINANCE.COM 博客：88% 接受调查的币安机构投资者对加密货币表示长期乐观,2023-06-30 17:00:01,Blogs,https://www.binance.com/en/blog/community/88-of-binance-institutional-investors-surveyed-express-long-term-optimism-about-crypto-3697010148591420493,
BINANCE.COM 博客：币安协助以色列对伊朗圣城军和真主党进行历史性反恐打击,2023-06-30 02:22:21,Blogs,https://www.binance.com/en/blog/leadership/binance-aids-israels-historic-counterterrorism-strike-against-irans-quds-force-and-hezbollah-2494339749978121912,
THE BLOCK：富达再次加入比特币 ETF 的新申请,2023-06-30 02:17:42,Blogs,https://www.theblock.co/post/235889/fidelity-files-for-spot-bitcoin-etf,
彭博社：富达加入现货比特币 ETF 竞赛并提交新的 SEC 文件,2023-06-30 01:47:26,Blogs,https://www.bloomberg.com/news/articles/2023-06-29/fidelity-jumps-into-spot-bitcoin-etf-race-with-fresh-sec-filing,
THE BLOCK：Cboe 文件显示 Fidelity 现货比特币 ETF 的计划,2023-06-30 01:46:43,Blogs,https://www.theblock.co/post/237139/cboe-filing-shows-plans-for-fidelity-spot-bitcoin-etf,
解密：富达向 SEC 重新提交比特币 ETF 申请，贝莱德重燃希望,2023-06-30 01:39:59,Blogs,https://decrypt.co/146432/fidelity-files-bitcoin-etf-application-with-the-sec,
COINDESK：富达重新提交现货比特币 ETF,2023-06-30 01:17:27,Blogs,https://www.coindesk.com/business/2023/06/29/asset-manager-fidelity-files-for-spot-bitcoin-exchange-traded-fund/,
数据库（@tier10k）：https://cdn.cboe.com/resources/regulation/rule_filings/pending/2023/SR-CboeBZX-2023-044.pdf,2023-06-30 01:06:11,Twitter,https://twitter.com/tier10k/status/1674464291037102080,
"变焦器（@zoomerfied）：[变焦器]

富达现货比特币 ETF 文件",2023-06-30 01:05:53,Twitter,https://twitter.com/zoomerfied/status/1674464213887070220,
db (@tier10k)：[DB] Fidelity 重新提交现货比特币 ETF,2023-06-30 01:05:57,Twitter,https://twitter.com/tier10k/status/1674464231767388171,
区块：Coinbase 的 Grewal 表示，美国人想要一只现货比特币 ETF,2023-06-29 23:44:35,Blogs,https://www.theblock.co/post/237085/americans-want-a-spot-bitcoin-etf-coinbases-grewal-says,
BINANCE.COM 博客：ForeverCR7：GOAT — 超级超级稀有 (SSR) NFT 解释,2023-06-29 22:00:01,Blogs,https://www.binance.com/en/blog/nft/forevercr7-the-goat--super-super-rare-ssr-nfts-explained-321988459379440943,
BINANCE.COM 博客：遵守规则：币安合规计划概述,2023-06-29 21:23:00,Blogs,https://www.binance.com/en/blog/community/playing-by-the-rules-an-overview-of-binances-compliance-program-7787599269355947143,
解密：德国 BaFin 拒绝币安加密货币托管许可证：报告,2023-06-29 20:59:20,Blogs,https://decrypt.co/146699/germanys-bafin-rejects-binance-crypto-custody-license-report,
BARRONS：自 BlackRock 推出比特币 ETF 以来，Coinbase 股价飙升。为什么它可能不会持久。,2023-06-29 20:04:50,Blogs,https://www.barrons.com/articles/coinbase-stock-blackrock-bitcoin-etf-crypto-39cdab2b,
区块链：币安在欧洲再次遭受银行业两次挫折,2023-06-29 19:28:38,Blogs,https://www.theblock.co/post/237036/binance-setbacks-europe,
COINTELEGRAPH：Mind Network 从币安实验室和其他知名风险投资公司筹集了 250 万美元种子资金,2023-06-29 19:00:02,Blogs,https://cointelegraph.com/press-releases/mind-network-raises-25-million-in-seed-funding-from-binance-labs-and-other-prominent-vcs,
解密：币安失去欧洲银行合作伙伴 Paysafe,2023-06-29 18:24:52,Blogs,https://decrypt.co/146681/binance-loses-european-banking-partner-paysafe,
COINDESK：在币安上的鲸鱼活动中，COMP 代币在 4 天内上涨了 50%,2023-06-29 18:19:45,Blogs,https://www.coindesk.com/business/2023/06/29/comp-token-rises-by-50-in-4-days-amid-flurry-of-whale-activity-on-binance/,
"Tree News (@News_Of_Alpha)：COINDESK：币安加密货币托管许可证申请被德国监管机构 BaFin 拒绝：报告

https://www.coindesk.com/policy/2023/06/29/binance-crypto-custody-license-application-denied-by-german-regulator-bafin-report/",2023-06-29 17:33:55,Twitter,https://twitter.com/News_Of_Alpha/status/1674350470884737025,
COINDESK：币安加密货币托管许可证申请被德国监管机构 BaFin 拒绝：报告,2023-06-29 17:33:39,Blogs,https://www.coindesk.com/policy/2023/06/29/binance-crypto-custody-license-application-denied-by-german-regulator-bafin-report/,
解密：比特币 ETF 竞赛：Ark 修改 SEC 文件以匹配贝莱德,2023-06-29 13:52:54,Blogs,https://decrypt.co/146645/bitcoin-etf-race-ark-amends-sec-filing-to-match-blackrock,
COINDESK：币安欧元银行合作伙伴将于 9 月份停止对加密货币交易所的支持,2023-06-29 07:46:58,Blogs,https://www.coindesk.com/business/2023/06/28/binance-eur-banking-partner-to-halt-support-of-the-crypto-exchange-in-september/,
Coinbase 路线图：添加 Helium (HNT),2023-06-29 03:50:50,Coinbase,https://www.coinbase.com/blog/increasing-transparency-for-new-asset-listings-on-coinbase?v=1687981850208,
THE BLOCK：币安的何一揭示了与 CZ 的关系，告诉彭博社她不是卡罗琳·埃里森,2023-06-29 00:41:06,Blogs,https://www.theblock.co/post/236945/binance-cz-yi-he-sbf-caroline-ellison-bloomberg,
COINTELEGRAPH：随着 ARK Invest 在应用程序中添加监控协议，比特币 ETF 竞赛变得更加激烈,2023-06-29 00:27:07,Blogs,https://cointelegraph.com/news/bitcoin-etf-race-gets-hotter-as-ark-invest-adds-surveillance-agreement-to-application,
BINANCE.COM 博客：如何保护您的加密货币免受网络钓鱼电子邮件的侵害,2023-06-29 00:19:12,Blogs,https://www.binance.com/en/blog/community/how-to-protect-your-crypto-from-phishing-emails-5649491576884064316,
彭博社：Wood’s Ark 为比特币 ETF 备案添加了可能的“银弹”,2023-06-29 00:01:26,Blogs,https://www.bloomberg.com/news/articles/2023-06-28/wood-s-ark-adds-possible-silver-bullet-to-bitcoin-etf-filing,
THE BLOCK：芝加哥期权交易所修改了 Ark 比特币 ETF 的备案文件，纳入类似贝莱德的功能,2023-06-28 23:51:14,Blogs,https://www.theblock.co/post/236949/cboe-amends-filing-for-ark-atf-add-surveillance-sharing-agreement-similar-to-blackrock,
COINDESK：ARK 修改现货比特币 ETF 备案以包括监控共享，类似于贝莱德,2023-06-28 23:43:47,Blogs,https://www.coindesk.com/business/2023/06/28/ark-amends-spot-bitcoin-etf-filing-to-include-surveillance-sharing-similar-to-blackrock/,
BINANCE.COM 博客：ForeverCR7：GOAT — 超级稀有 (SR) NFT 解释,2023-06-28 22:00:02,Blogs,https://www.binance.com/en/blog/nft/forevercr7-the-goat--super-rare-sr-nfts-explained-5926254825050891714,
彭博社：加密货币领域最有权势的女性在危机震撼币安之际发声,2023-06-28 21:12:55,Blogs,https://www.bloomberg.com/news/features/2023-06-28/binance-co-founder-yi-he-on-crypto-regulation-and-changpeng-cz-zhao,
"Tree News (@News_Of_Alpha)：COINDESK：华纳音乐集团与 Polygon 合作开发区块链音乐加速器

https://www.coindesk.com/web3/2023/06/28/warner-music-group-partners-with-polygon-on-blockchain-music-accelerator/",2023-06-28 21:00:32,Twitter,https://twitter.com/News_Of_Alpha/status/1674040082003636229,
"THE BLOCK：受 ETF 乐观情绪提振，比特币保持在 30,000 美元以上",2023-06-28 19:42:34,Blogs,https://www.theblock.co/post/236890/bitcoin-stays-above-30000-buoyed-by-etf-optimism,
BINANCE.COM 博客：币安税务观察：2023 年 4 月和 5 月的加密货币税务发展,2023-06-28 19:09:04,Blogs,https://www.binance.com/en/blog/tax/binance-tax-watch-crypto-tax-developments-in-april-and-may-2023-8227206549812404993,
"BARRONS：比特币下跌，但仍守住 30,000 美元，因为加密货币多头将希望寄托在贝莱德 ETF 上",2023-06-28 18:48:48,Blogs,https://www.barrons.com/articles/bitcoin-crypto-markets-today-55d30025,
THE BLOCK：自贝莱德 ETF 备案以来，比特币矿商向交易所发送了 10 亿美元,2023-06-28 18:33:49,Blogs,https://www.theblock.co/post/236859/bitcoin-miners-sent-1-billion-to-exchanges-since-blackrock-etf-filing,
"Tree News (@News_Of_Alpha)：*消息人士称，作为任何重启的一部分，FTX 可能会重塑品牌
引用 [@News_Of_Alpha](https://www.twitter.com/News_Of_Alpha/status/1673987149564198912)
> *FTX 开始就重启旗舰国际加密货币交易所进行谈判 - 华尔街日报",2023-06-28 17:31:15,Twitter,https://twitter.com/News_Of_Alpha/status/1673987412848959494,
Tree News (@News_Of_Alpha)：*FTX 开始就重启旗舰国际加密货币交易所进行谈判 -- 华尔街日报,2023-06-28 17:30:12,Twitter,https://twitter.com/News_Of_Alpha/status/1673987149564198912,
snailnews (@snailnews_)：[忽略]测试,2023-06-28 16:46:15,Twitter,https://twitter.com/snailnews_/status/1673976088366821381,
THE BLOCK：比特币 ETF 备案后，加密货币交易量出现反弹,2023-06-28 16:32:50,Blogs,https://www.theblock.co/post/236826/crypto-exchange-volumes-rebound-in-wake-of-bitcoin-etf-filings,
CZ 🔶 币安 (@cz_binance)：@BNBCHAIN 我以为我们在一起了？,2023-06-28 16:05:11,Twitter,https://twitter.com/cz_binance/status/1673965748568424448,
BINANCE.COM 博客：以下是您错过的最新币安 VIP AMA 活动,2023-06-28 14:27:37,Blogs,https://www.binance.com/en/blog/vip/heres-what-you-missed-at-the-latest-binance-vip-ama-7886285717061773392,
埃隆·马斯克（@elonmusk）：@cb_doge @TuckerCarlson @TheBabylonBee @ZubyMusic @AppleTV 非常令人兴奋！,2023-06-28 10:53:56,Twitter,https://twitter.com/elonmusk/status/1673887418184007680,
彭博社：据报道富达准备推出现货比特币 ETF,2023-06-28 05:25:45,Blogs,https://www.bloomberg.com/news/videos/2023-06-27/fidelity-reportedly-ready-to-launch-a-spot-bitcoin-etf-video,
THE BLOCK：Sui 基金会否认在币安上出售质押奖励,2023-06-28 02:35:41,Blogs,https://www.theblock.co/post/236759/sui-foundation-denies-selling-staking-rewards-on-binance,
THE BLOCK：贝莱德比特币 ETF 举措带来的数十亿美元问题,2023-06-28 01:25:55,Blogs,https://www.theblock.co/post/236558/multi-billion-dollar-question-posed-by-blackrock-move-for-a-spot-bitcoin-etf,
"db (@tier10k)：Prime Trust 欠客户 85,670,000 美元（以法定货币计算），但只有 2,904,000 美元

至于数字货币，PT欠客户69,509,000美元，但只有68,648,000美元

🪦 https://t.co/JHAAZA1n6s",2023-06-28 01:24:45,Twitter,https://twitter.com/tier10k/status/1673744184572887049,
"db (@tier10k)：FID 声称 Prime Trust 在 2021 年失去了对旧钱包的访问权限，并使用客户资产回购加密货币

哦兄弟 https://t.co/zjebYPAkcA
引用 [@tier10k](https://www.twitter.com/tier10k/status/1673741905451008007)
> [DB] 内华达州 FID 提交请愿书，要求将 Prime Trust 纳入接管程序",2023-06-28 01:21:26,Twitter,https://twitter.com/tier10k/status/1673743351785439251,
db (@tier10k)：[DB] 内华达州 FID 提交请愿书，要求将 Prime Trust 纳入接管程序,2023-06-28 01:15:41,Twitter,https://twitter.com/tier10k/status/1673741905451008007,
彭博社：据报道富达关注现货 ETF，比特币接近一年高点,2023-06-28 00:30:51,Blogs,https://www.bloomberg.com/news/articles/2023-06-27/bitcoin-nears-one-year-high-as-fidelity-reportedly-eyes-spot-etf,
COINDESK：富达现货 ETF 报告发布后，比特币短暂突破 3.1 万美元,2023-06-27 23:44:51,Blogs,https://www.coindesk.com/markets/2023/06/27/bitcoin-briefly-pushes-above-31k-after-fidelity-spot-etf-report/,
BINANCE.COM 博客：币安安全的“Break-Glass”主机访问系统如何工作,2023-06-27 22:32:08,Blogs,https://www.binance.com/en/blog/tech/how-binances-secure-break-glass-host-access-system-works-2637565462911559188,
THE BLOCK：富达准备提交现货比特币 ETF 文件：来源,2023-06-27 22:01:25,Blogs,https://www.theblock.co/post/236588/fidelity-preparing-to-submit-spot-bitcoin-etf-filing-source,
"Tree News (@News_Of_Alpha)：THE BLOCK：富达准备提交现货比特币 ETF 文件：来源

https://www.theblock.co/post/236588/fidelity-preparing-to-submit-spot-bitcoin-etf-filing-source",2023-06-27 22:01:55,Twitter,https://twitter.com/News_Of_Alpha/status/1673693139561840642,
BINANCE.COM 博客：ForeverCR7：山羊 — 稀有 (R) NFT 解释,2023-06-27 22:00:03,Blogs,https://www.binance.com/en/blog/nft/forevercr7-the-goat--rare-r-nfts-explained-3073802544864820108,
BINANCE.COM 博客：币安实验室投资 Maverick Protocol 以构建更高效的 DeFi 基础设施,2023-06-27 20:00:08,Blogs,https://www.binance.com/en/blog/ecosystem/binance-labs-invests-in-maverick-protocol-to-build-more-efficient-defi-infrastructure-1730185458838208439,
解密：币安关于 SEC“误导性”公共语言的动议被拒绝,2023-06-27 19:25:35,Blogs,https://decrypt.co/146378/binance-motion-on-secs-misleading-public-language-denied,
解密：Circle 首席执行官对比特币现货 ETF 批准持乐观态度：“正在取得进展”,2023-06-27 18:33:17,Blogs,https://decrypt.co/146368/circle-ceo-optimistic-over-bitcoin-spot-etf-approval-progress-is-being-made,
技术亚洲：汇丰银行在香港交易所增加比特币、以太坊 ETF 支持,2023-06-27 13:59:24,Blogs,https://www.techinasia.com/hsbc-supports-bitcoin-ethereum-etfs-hk-exchange,
[交易]新增韩元市场数字资产（BLUR）,2023-06-27 13:00:00,Upbit,https://upbit.com/service_center/notice?id=3596,
区块链：由于 SEC 斥责请求失败，币安在法庭上遭遇早期败诉,2023-06-27 06:14:25,Blogs,https://www.theblock.co/post/236556/binance-takes-early-court-loss-as-request-for-sec-rebuke-fails,
解密：香港汇丰银行推出对比特币和以太坊 ETF 的支持,2023-06-27 05:15:51,Blogs,https://decrypt.co/146290/hsbc-hong-kong-bitcoin-ethereum-etfs-securities-derivatives,
COINDESK：美国法官驳回 Binance.US 对 SEC 新闻稿的投诉,2023-06-27 03:27:08,Blogs,https://www.coindesk.com/?1687807628798,
埃隆·马斯克 (@elonmusk)：@cb_doge 非常准确的列表。对于几个产品“版本”来说，基础知识已经就位,2023-06-27 02:28:44,Twitter,https://twitter.com/elonmusk/status/1673397893099560981,
彭博社：Cathie Wood 的 ARK 表示，它是第一个现货比特币 ETF,2023-06-27 01:29:18,Blogs,https://www.bloomberg.com/news/articles/2023-06-26/cathie-wood-s-ark-says-it-s-first-in-line-for-spot-bitcoin-etf-btc,
BARRONS：推动比特币 ETF 预示着机构纷纷涌向加密货币,2023-06-27 01:19:43,Blogs,https://www.barrons.com/articles/bitcoin-etf-sec-institutions-crypto-d7f335d9,
THE BLOCK：ProShares 的比特币策略 ETF 拥有“一年来最大的周资金流入”,2023-06-27 01:10:28,Blogs,https://www.theblock.co/post/236391/proshares-bitcoin-strategy-etf-has-biggest-weekly-inflow-in-a-year,
COINDESK：香港汇丰银行允许客户交易比特币、以太坊 ETF，但这并不是真正的新闻,2023-06-27 00:07:08,Blogs,https://www.coindesk.com/business/2023/06/26/hong-kongs-hsbc-allows-customers-to-trade-bitcoin-ether-etfs-but-thats-not-really-news/,
THE BLOCK：币安撤回奥地利的牌照申请：FinanceFWD,2023-06-26 23:42:22,Blogs,https://www.theblock.co/post/236405/binance-austria-withdraws-license-application,
彭博社：贝莱德提交现货比特币 ETF 申请后，数字资产流入创一年新高,2023-06-26 23:04:30,Blogs,https://www.bloomberg.com/news/articles/2023-06-26/digital-asset-inflows-highest-in-a-year-after-blackrock-filing,
BINANCE.COM 博客：ForeverCR7：GOAT — 普通 (N) NFT 解释,2023-06-26 22:00:00,Blogs,https://www.binance.com/en/blog/nft/forevercr7-the-goat--normal-n-nfts-explained-8402784908368088654,
THE BLOCK：随着比特币 ETF 竞赛的开始，GBTC 相对资产净值的折扣缩小,2023-06-26 20:47:09,Blogs,https://www.theblock.co/post/236339/gbtcs-discount-to-nav-narrows-as-bitcoin-etf-race-kicks-off,
THE BLOCK：币安推翻了欧盟关于隐私币交易的决定,2023-06-26 20:46:11,Blogs,https://www.theblock.co/post/236340/binance-privacy-coins,
THE BLOCK：香港汇丰银行现允许客户交易比特币和以太币 ETF,2023-06-26 19:15:52,Blogs,https://www.theblock.co/post/236325/hsbc-hong-kong-bitcoin-ether-crypto-etfs,
BINANCE.COM 博客：币安加密货币政策播客 Crossing the Chain 首次亮相，讨论欧盟 MiCA 框架,2023-06-26 18:12:52,Blogs,https://www.binance.com/en/blog/community/crossing-the-chain-binances-crypto-policy-podcast-debuts-with-a-discussion-of-eus-mica-framework-4052885076552863539,
COINTELEGRAPH：币安将阿拉伯联合酋长国视为未来运营的“焦点”,2023-06-26 14:38:02,Blogs,https://cointelegraph.com/news/binance-eyes-uae-as-possible-base-for-future-operations,
彭博社：币安的市场份额接近一年低点,2023-06-26 14:32:24,Blogs,https://www.bloomberg.com/news/articles/2023-06-26/binance-s-market-share-is-stuck-near-one-year-low-kaiko-data,
埃隆·马斯克 (@elonmusk)：@DogeAccept @OMG_Like_Really @Johnnthelefty 非常奇怪,2023-06-26 09:52:57,Twitter,https://twitter.com/elonmusk/status/1673147299428712449,
埃隆·马斯克 (@elonmusk)：@cb_doge 感觉很久以前了,2023-06-26 07:42:08,Twitter,https://twitter.com/elonmusk/status/1673114376843444226,
埃隆·马斯克 (@elonmusk)：@cb_doge 人口崩溃对文明的未来构成严重威胁,2023-06-25 07:25:37,Twitter,https://twitter.com/elonmusk/status/1672747830463586308,
埃隆·马斯克（@elonmusk）：@dogeofficialceo 💯,2023-06-24 21:57:44,Twitter,https://twitter.com/elonmusk/status/1672604917301760000,
埃隆·马斯克 (@elonmusk)：@cb_doge 是的,2023-06-24 21:40:43,Twitter,https://twitter.com/elonmusk/status/1672600639229120516,
